salary_in_usd,job_title_freq,employee_residence_freq,company_location_freq,experience_level_Executive-level,experience_level_Mid-level,experience_level_Senior-level,employment_type_Freelance,employment_type_Full-time,employment_type_Part-time,work_models_On-site,work_models_Remote,company_size_Medium,company_size_Small
148100,0.19963031423290203,0.8019100431300061,0.8093037584719655,0,1,0,0,1,0,0,1,1,0
98700,0.19963031423290203,0.8019100431300061,0.8093037584719655,0,1,0,0,1,0,0,1,1,0
140032,0.1899260628465804,0.8019100431300061,0.8093037584719655,0,0,1,0,1,0,0,1,1,0
100022,0.1899260628465804,0.8019100431300061,0.8093037584719655,0,0,1,0,1,0,0,1,1,0
120000,0.006315465187923599,0.8019100431300061,0.8093037584719655,0,1,0,0,1,0,1,0,1,0
62100,0.006315465187923599,0.8019100431300061,0.8093037584719655,0,1,0,0,1,0,1,0,1,0
250000,0.009242144177449169,0.8019100431300061,0.8093037584719655,0,0,0,0,1,0,1,0,1,0
150000,0.009242144177449169,0.8019100431300061,0.8093037584719655,0,0,0,0,1,0,1,0,1,0
219650,0.19963031423290203,0.8019100431300061,0.8093037584719655,1,0,0,0,1,0,0,1,1,0
136000,0.19963031423290203,0.8019100431300061,0.8093037584719655,1,0,0,0,1,0,0,1,1,0
87800,0.004467036352433764,0.8019100431300061,0.8093037584719655,0,1,0,0,1,0,1,0,1,0
76300,0.004467036352433764,0.8019100431300061,0.8093037584719655,0,1,0,0,1,0,1,0,1,0
148100,0.1899260628465804,0.8019100431300061,0.8093037584719655,0,1,0,0,1,0,0,1,1,0
98700,0.1899260628465804,0.8019100431300061,0.8093037584719655,0,1,0,0,1,0,0,1,1,0
145500,0.19963031423290203,0.8019100431300061,0.8093037584719655,0,1,0,0,1,0,1,0,1,0
93000,0.19963031423290203,0.8019100431300061,0.8093037584719655,0,1,0,0,1,0,1,0,1,0
85000,0.1899260628465804,0.8019100431300061,0.8093037584719655,0,1,0,0,1,0,1,0,1,0
75000,0.1899260628465804,0.8019100431300061,0.8093037584719655,0,1,0,0,1,0,1,0,1,0
105000,0.1899260628465804,0.8019100431300061,0.8093037584719655,0,1,0,0,1,0,1,0,1,0
70000,0.1899260628465804,0.8019100431300061,0.8093037584719655,0,1,0,0,1,0,1,0,1,0
204662,0.19963031423290203,0.8019100431300061,0.8093037584719655,0,0,1,0,1,0,1,0,1,0
184662,0.19963031423290203,0.8019100431300061,0.8093037584719655,0,0,1,0,1,0,1,0,1,0
179000,0.1899260628465804,0.8019100431300061,0.8093037584719655,0,1,0,0,1,0,1,0,1,0
112000,0.1899260628465804,0.8019100431300061,0.8093037584719655,0,1,0,0,1,0,1,0,1,0
115000,0.13971041281577326,0.8019100431300061,0.8093037584719655,0,0,0,0,1,0,1,0,1,0
85000,0.13971041281577326,0.8019100431300061,0.8093037584719655,0,0,0,0,1,0,1,0,1,0
225000,0.004158964879852125,0.8019100431300061,0.8093037584719655,1,0,0,0,1,0,1,0,1,0
180000,0.004158964879852125,0.8019100431300061,0.8093037584719655,1,0,0,0,1,0,1,0,1,0
175000,0.0023105360443622922,0.8019100431300061,0.8093037584719655,0,0,1,0,1,0,1,0,1,0
110000,0.0023105360443622922,0.8019100431300061,0.8093037584719655,0,0,1,0,1,0,1,0,1,0
252000,0.010782501540357363,0.8019100431300061,0.8093037584719655,0,0,1,0,1,0,1,0,1,0
157500,0.010782501540357363,0.8019100431300061,0.8093037584719655,0,0,1,0,1,0,1,0,1,0
267900,0.09426987060998152,0.8019100431300061,0.8093037584719655,0,0,1,0,1,0,1,0,1,0
234700,0.09426987060998152,0.8019100431300061,0.8093037584719655,0,0,1,0,1,0,1,0,1,0
195500,0.13971041281577326,0.8019100431300061,0.8093037584719655,0,0,0,0,1,0,1,0,1,0
68000,0.13971041281577326,0.8019100431300061,0.8093037584719655,0,0,0,0,1,0,1,0,1,0
120000,0.013093037584719655,0.8019100431300061,0.8093037584719655,0,0,1,0,1,0,0,1,1,0
90000,0.013093037584719655,0.8019100431300061,0.8093037584719655,0,0,1,0,1,0,0,1,1,0
242000,0.1899260628465804,0.8019100431300061,0.8093037584719655,0,0,1,0,1,0,1,0,1,0
106200,0.1899260628465804,0.8019100431300061,0.8093037584719655,0,0,1,0,1,0,1,0,1,0
215000,0.09426987060998152,0.8019100431300061,0.8093037584719655,0,0,1,0,1,0,1,0,1,0
146900,0.09426987060998152,0.8019100431300061,0.8093037584719655,0,0,1,0,1,0,1,0,1,0
222200,0.01463339494762785,0.8019100431300061,0.8093037584719655,0,1,0,0,1,0,1,0,0,0
136000,0.01463339494762785,0.8019100431300061,0.8093037584719655,0,1,0,0,1,0,1,0,0,0
246000,0.1899260628465804,0.8019100431300061,0.8093037584719655,0,1,0,0,1,0,0,1,1,0
190000,0.1899260628465804,0.8019100431300061,0.8093037584719655,0,1,0,0,1,0,0,1,1,0
165000,0.19963031423290203,0.8019100431300061,0.8093037584719655,0,1,0,0,1,0,0,1,1,0
129600,0.19963031423290203,0.8019100431300061,0.8093037584719655,0,1,0,0,1,0,0,1,1,0
200400,0.012630930375847197,0.8019100431300061,0.8093037584719655,0,1,0,0,1,0,1,0,1,0
126900,0.012630930375847197,0.8019100431300061,0.8093037584719655,0,1,0,0,1,0,1,0,1,0
230000,0.09426987060998152,0.8019100431300061,0.8093037584719655,0,0,1,0,1,0,0,1,1,0
175520,0.13971041281577326,0.8019100431300061,0.8093037584719655,0,0,1,0,1,0,1,0,1,0
103786,0.13971041281577326,0.8019100431300061,0.8093037584719655,0,0,1,0,1,0,1,0,1,0
170000,0.03727664818237831,0.8019100431300061,0.8093037584719655,0,0,1,0,1,0,0,1,1,0
